设定项目发起信息,inputProjectInitiateData
启动项目并分派任务,launchAndDispatchProject
签订项目招标代理合同,signBiddingAgencyContract
签订项目前期咨询合同,signPreliminaryConsultingContract
提交项目可研报告,submitFeasibilityResearchReport
提交工程必备资料信息,submitNecessaryEngineeringData
签订项目勘查合同,signReconnaissanceContract
接收项目勘察成果,receiveReconnaissanceResult
签订项目设计合同,signDesignContract
接收项目设计成果,receiveDesignResult
提交投资概算,submitInvestmentEstimates
签订造价咨询合同,signCostConsultingContract
接收造价咨询成果,receiveCostConsultingResult
审批工程预算造价,approveEngineeringEstimatedCost
签订施工合同,signConstructionContract
签订监理合同,signSupervisorContract
执行项目工程施工,executeProjectConstruction
提交项目施工月进度报告,submitMonthlyProgressReport
执行项目工程竣工验收,executeProjectFinalAcceptance
执行项目质保,executeProjectQualityGuarantee
关闭项目,closeProject
